max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
10.0,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,2,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,2,100
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
10.0,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,2,200
,sqrt,1,5,200
,sqrt,1,2,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,5,200
,sqrt,1,2,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
20.0,sqrt,1,2,200
20.0,sqrt,1,2,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,2,200
20.0,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
10.0,sqrt,1,5,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
10.0,sqrt,1,5,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
,sqrt,1,5,100
,sqrt,1,5,200
20.0,sqrt,1,2,200
20.0,sqrt,1,2,200
,sqrt,1,2,200
,sqrt,1,2,200
10.0,sqrt,1,5,200
20.0,sqrt,1,2,200
20.0,sqrt,1,2,200
20.0,sqrt,1,2,100
,sqrt,1,5,200
,sqrt,1,5,200
20.0,sqrt,1,2,200
20.0,sqrt,1,2,200
20.0,sqrt,1,2,100
20.0,sqrt,1,2,100
10.0,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,50
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,50
10.0,sqrt,1,5,50
10.0,sqrt,1,5,50
10.0,sqrt,1,5,50
10.0,sqrt,1,5,50
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,200
10.0,sqrt,1,5,50
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,10,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,10,200
,sqrt,1,10,200
,sqrt,1,5,200
,sqrt,1,10,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
,sqrt,1,5,200
