colsample_bytree,learning_rate,max_depth,n_estimators,subsample
1.0,0.2,3,300,0.8
1.0,0.2,5,300,1.0
1.0,0.2,5,200,1.0
1.0,0.2,5,200,1.0
1.0,0.2,5,200,1.0
1.0,0.2,5,200,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,200,1.0
1.0,0.2,5,200,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,300,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,200,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,200,1.0
1.0,0.1,5,100,0.8
1.0,0.2,5,200,1.0
1.0,0.2,5,200,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,1.0
1.0,0.2,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,200,1.0
1.0,0.2,5,100,1.0
1.0,0.2,3,100,0.8
1.0,0.2,3,300,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,3,300,0.8
1.0,0.2,3,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,200,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,200,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,200,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.2,5,200,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,1.0
1.0,0.1,5,200,0.8
1.0,0.1,5,200,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,0.8
1.0,0.2,5,100,0.8
1.0,0.2,5,100,0.8
1.0,0.2,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,200,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,200,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,200,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,300,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,0.8
1.0,0.2,7,200,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,200,0.8
1.0,0.1,5,300,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,200,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,200,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.2,5,100,1.0
1.0,0.2,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,300,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,300,0.8
1.0,0.1,5,200,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.2,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.2,5,200,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.2,5,100,1.0
1.0,0.2,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.2,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,3,200,1.0
1.0,0.1,5,100,1.0
1.0,0.2,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,0.8
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.1,5,100,1.0
1.0,0.2,5,100,1.0
