iteration,krr_sigma,krr_lambda,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,meta_coef_krr,meta_coef_xgb,meta_intercept,mae
1,10.24,0.001,200,3,0.1,0.36997030774669765,0.6502148621498771,-0.01355142997525205,0.03979235917004964
2,40.96,0.001,200,5,0.1,0.5875626194284591,0.40725165455900114,0.0006565359005714644,0.04607604694744522
3,20.48,0.001,200,5,0.1,0.32007493239785223,0.6708950392646474,0.006258578302284157,0.042183622910085664
4,20.48,0.001,200,3,0.1,0.3246298463903623,0.6913873778954869,-0.013685272287107808,0.03131694367094959
5,20.48,0.001,100,5,0.1,0.5539146865511064,0.45161948801084617,-0.004861798533402073,0.03645774994351214
6,40.96,0.001,200,3,0.1,0.29123063717646464,0.7319287691441632,-0.014207550263390156,0.04553878561812011
7,20.48,0.001,200,5,0.1,0.40389268883588925,0.6038312789401649,-0.009754060270724119,0.044484471880913014
8,20.48,0.001,200,3,0.1,0.4016773137107911,0.6166459170911341,-0.012109629380919973,0.044239958438735856
9,5.12,0.001,200,3,0.1,0.3657339160662683,0.6497615046835122,-0.011292291410332167,0.04342471717698413
10,20.48,0.001,200,5,0.1,0.19121513036617477,0.8163966551433696,-0.004774070056035473,0.02767981379528137
