iteration,krr_sigma,krr_lambda,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,meta_coef_krr,meta_coef_xgb,meta_intercept,mae
0,40.96,0.001,0.1,3,200,0.4366826891191469,0.6415765937573191,-0.06190867755734031,0.054807780986168855
1,10.24,0.001,0.1,5,200,1.0162815467994415,-0.02937380636481818,0.006794975453416341,0.05437525759973498
2,40.96,0.001,0.1,3,200,0.46327482793497005,0.5349894822331582,-0.006957619423427652,0.052903895696265545
3,40.96,0.001,0.1,5,200,0.361414489217997,0.6087506323053897,0.02982038046795965,0.04435129981071815
4,40.96,0.001,0.1,3,200,0.7211344744933901,0.27508508694218975,-0.004544926595229759,0.055506720340158466
5,81.92,0.001,0.1,5,200,0.6499699307611145,0.3904039949935244,-0.04039228357380387,0.05127470638851292
6,5.12,0.001,0.1,5,200,0.6033238094193164,0.3796788668177135,0.02178466372897281,0.046576838876099674
7,327.68,1e-05,0.1,3,200,0.2589920089221264,0.8110555293419134,-0.03561408748351724,0.06889650579684996
8,163.84,0.001,0.1,5,200,0.09430878164964146,0.9356136466359503,-0.024862647378103286,0.050434634240169134
9,81.92,0.001,0.1,3,200,0.285977346753779,0.6247459691641735,0.08504323686478266,0.04881110119516339
